order_id,return_type,return_reason,refund_amount
ORD_000278,Customer Return,Quality Not as Expected,1183.0
ORD_000280,Customer Return,Size / Fit Issue,2659.6
ORD_000284,Customer Return,Size / Fit Issue,1895.5
ORD_000293,Customer Return,Size / Fit Issue,739.5
ORD_000299,Customer Return,Defective / Damaged Item,1107.2
ORD_000301,RTO (Undelivered),Customer Refused at Doorstep,1580.8
ORD_000315,RTO (Undelivered),Customer Refused at Doorstep,524.2
ORD_000319,Customer Return,Defective / Damaged Item,8535.7
ORD_000324,Customer Return,Size / Fit Issue,721.6
ORD_000327,Customer Return,Size / Fit Issue,1550.4
ORD_000332,RTO (Undelivered),Customer Refused at Doorstep,1162.3
ORD_000338,Customer Return,Size / Fit Issue,2604.0
ORD_000343,Customer Return,Size / Fit Issue,723.2
ORD_000344,RTO (Undelivered),Customer Refused at Doorstep,2400.9
ORD_000345,RTO (Undelivered),Customer Refused at Doorstep,1728.4
ORD_000346,Customer Return,Size / Fit Issue,1766.4
ORD_000348,RTO (Undelivered),Customer Refused at Doorstep,936.0
ORD_000350,Customer Return,Size / Fit Issue,512.4
ORD_000351,RTO (Undelivered),Customer Refused at Doorstep,1093.4
ORD_000352,Customer Return,Size / Fit Issue,2522.0
ORD_000353,Customer Return,Defective / Damaged Item,2144.0
ORD_000357,Customer Return,Found Better Price Elsewhere,540.0
ORD_000362,RTO (Undelivered),Customer Refused at Doorstep,1275.6
ORD_000368,RTO (Undelivered),Customer Refused at Doorstep,2504.1
ORD_000369,RTO (Undelivered),Customer Refused at Doorstep,2984.0
ORD_000371,RTO (Undelivered),Customer Refused at Doorstep,1880.5
ORD_000373,RTO (Undelivered),Customer Refused at Doorstep,489.8
ORD_000394,RTO (Undelivered),Customer Refused at Doorstep,1422.1
ORD_000399,RTO (Undelivered),Customer Refused at Doorstep,1025.2
ORD_000401,RTO (Undelivered),Customer Refused at Doorstep,2413.8
ORD_000405,RTO (Undelivered),Customer Refused at Doorstep,399.0
ORD_000407,RTO (Undelivered),Customer Refused at Doorstep,2899.6
ORD_000409,RTO (Undelivered),Customer Refused at Doorstep,237.8
ORD_000437,RTO (Undelivered),Customer Refused at Doorstep,1159.6
ORD_000439,RTO (Undelivered),Customer Refused at Doorstep,2302.0
ORD_000444,Customer Return,Found Better Price Elsewhere,2872.6
ORD_000445,RTO (Undelivered),Customer Refused at Doorstep,3278.1
ORD_000449,RTO (Undelivered),Customer Refused at Doorstep,1407.5
ORD_000452,Customer Return,Defective / Damaged Item,3947.1
ORD_000455,RTO (Undelivered),Customer Refused at Doorstep,2863.8
ORD_000457,Customer Return,Size / Fit Issue,878.8
ORD_000464,Customer Return,Late Delivery,2604.0
ORD_000469,Customer Return,Size / Fit Issue,1525.2
ORD_000470,RTO (Undelivered),Customer Refused at Doorstep,2256.1
ORD_000475,Customer Return,Defective / Damaged Item,1013.6
ORD_000483,Customer Return,Size / Fit Issue,654.0
ORD_000487,RTO (Undelivered),Customer Refused at Doorstep,4193.2
ORD_000499,RTO (Undelivered),Customer Refused at Doorstep,921.3
ORD_000502,Customer Return,Quality Not as Expected,2880.1
ORD_000511,RTO (Undelivered),Customer Refused at Doorstep,1355.2
ORD_000517,Customer Return,Size / Fit Issue,1788.0
ORD_000524,Customer Return,Size / Fit Issue,1725.0
ORD_000535,Customer Return,Late Delivery,579.6
ORD_000544,Customer Return,Size / Fit Issue,237.6
ORD_000545,Customer Return,Size / Fit Issue,1682.1
ORD_000547,RTO (Undelivered),Customer Refused at Doorstep,2599.6
ORD_000549,Customer Return,Quality Not as Expected,697.6
ORD_000552,Customer Return,Quality Not as Expected,2949.2
ORD_000554,Customer Return,Size / Fit Issue,2029.2
ORD_000555,Customer Return,Size / Fit Issue,3162.3
ORD_000569,Customer Return,Quality Not as Expected,1256.7
ORD_000574,RTO (Undelivered),Customer Refused at Doorstep,4595.1
ORD_000579,RTO (Undelivered),Customer Refused at Doorstep,2849.3
ORD_000581,RTO (Undelivered),Customer Refused at Doorstep,2384.4
ORD_000588,RTO (Undelivered),Customer Refused at Doorstep,3947.2
ORD_000593,Customer Return,Size / Fit Issue,672.0
ORD_000600,Customer Return,Size / Fit Issue,1092.0
ORD_000605,RTO (Undelivered),Customer Refused at Doorstep,1897.8
ORD_000606,RTO (Undelivered),Customer Refused at Doorstep,666.9
ORD_000609,Customer Return,Size / Fit Issue,2100.9
ORD_000612,Customer Return,Late Delivery,5564.9
ORD_000613,Customer Return,Late Delivery,3263.0
ORD_000614,Customer Return,Size / Fit Issue,1771.2
ORD_000617,RTO (Undelivered),Customer Refused at Doorstep,1227.6
ORD_000621,Customer Return,Quality Not as Expected,6178.6
ORD_000633,Customer Return,Size / Fit Issue,713.4
ORD_000635,Customer Return,Size / Fit Issue,2696.4
ORD_000640,Customer Return,Size / Fit Issue,3052.5
ORD_000642,Customer Return,Size / Fit Issue,3057.2
ORD_000645,RTO (Undelivered),Customer Refused at Doorstep,1910.7
ORD_000660,Customer Return,Quality Not as Expected,1064.7
ORD_000662,Customer Return,Late Delivery,7735.9
ORD_000663,Customer Return,Late Delivery,7114.8
ORD_000670,Customer Return,Size / Fit Issue,4221.7
ORD_000673,Customer Return,Size / Fit Issue,2296.8
ORD_000676,Customer Return,Found Better Price Elsewhere,4963.8
ORD_000681,RTO (Undelivered),Customer Refused at Doorstep,176.3
ORD_000683,RTO (Undelivered),Customer Refused at Doorstep,865.0
ORD_000684,RTO (Undelivered),Customer Refused at Doorstep,1457.4
ORD_000688,Customer Return,Defective / Damaged Item,1402.7
ORD_000693,Customer Return,Quality Not as Expected,5351.2
ORD_000695,RTO (Undelivered),Customer Refused at Doorstep,1062.0
ORD_000699,RTO (Undelivered),Customer Refused at Doorstep,2984.2
ORD_000701,Customer Return,Size / Fit Issue,1356.6
ORD_000725,Customer Return,Late Delivery,523.2
ORD_000732,Customer Return,Size / Fit Issue,2293.2
ORD_000733,Customer Return,Late Delivery,5151.4
ORD_000738,Customer Return,Found Better Price Elsewhere,2992.0
ORD_000745,Customer Return,Size / Fit Issue,1700.4
ORD_000751,RTO (Undelivered),Customer Refused at Doorstep,3381.2
ORD_000752,Customer Return,Size / Fit Issue,3831.0
ORD_000756,Customer Return,Size / Fit Issue,4436.2
ORD_000766,RTO (Undelivered),Customer Refused at Doorstep,429.2
ORD_000774,RTO (Undelivered),Customer Refused at Doorstep,994.3
ORD_000778,Customer Return,Size / Fit Issue,3860.1
ORD_000791,RTO (Undelivered),Customer Refused at Doorstep,910.8
ORD_000793,Customer Return,Late Delivery,4134.6
ORD_000795,RTO (Undelivered),Customer Refused at Doorstep,2359.8
ORD_000797,Customer Return,Late Delivery,1434.4
ORD_000798,Customer Return,Quality Not as Expected,1795.9
ORD_000800,Customer Return,Quality Not as Expected,3129.0
ORD_000808,RTO (Undelivered),Customer Refused at Doorstep,3572.0
ORD_000810,Customer Return,Size / Fit Issue,688.0
ORD_000811,Customer Return,Defective / Damaged Item,584.6
ORD_000815,Customer Return,Size / Fit Issue,3540.9
ORD_000816,RTO (Undelivered),Customer Refused at Doorstep,728.0
ORD_000818,Customer Return,Size / Fit Issue,1430.4
ORD_000819,RTO (Undelivered),Customer Refused at Doorstep,3132.3
ORD_000826,Customer Return,Late Delivery,896.8
ORD_000831,RTO (Undelivered),Customer Refused at Doorstep,831.3
ORD_000834,RTO (Undelivered),Customer Refused at Doorstep,4357.2
ORD_000836,RTO (Undelivered),Customer Refused at Doorstep,4165.8
ORD_000837,Customer Return,Size / Fit Issue,1349.2
ORD_000838,Customer Return,Found Better Price Elsewhere,2488.2
ORD_000841,Customer Return,Quality Not as Expected,1350.0
ORD_000845,Customer Return,Size / Fit Issue,1392.0
ORD_000848,RTO (Undelivered),Customer Refused at Doorstep,3061.0
ORD_000849,RTO (Undelivered),Customer Refused at Doorstep,2425.6
ORD_000861,Customer Return,Found Better Price Elsewhere,3749.6
ORD_000863,RTO (Undelivered),Customer Refused at Doorstep,1549.8
ORD_000868,Customer Return,Size / Fit Issue,1198.4
ORD_000872,Customer Return,Size / Fit Issue,2130.2
ORD_000873,RTO (Undelivered),Customer Refused at Doorstep,700.6
ORD_000875,RTO (Undelivered),Customer Refused at Doorstep,660.0
ORD_000880,RTO (Undelivered),Customer Refused at Doorstep,3069.3
ORD_000893,RTO (Undelivered),Customer Refused at Doorstep,3304.6
ORD_000894,Customer Return,Quality Not as Expected,2266.4
ORD_000896,RTO (Undelivered),Customer Refused at Doorstep,1395.0
ORD_000897,Customer Return,Quality Not as Expected,1160.9
ORD_000898,Customer Return,Quality Not as Expected,1066.8
ORD_000907,Customer Return,Size / Fit Issue,1493.1
ORD_000918,RTO (Undelivered),Customer Refused at Doorstep,3715.2
ORD_000919,RTO (Undelivered),Customer Refused at Doorstep,1469.0
ORD_000923,RTO (Undelivered),Customer Refused at Doorstep,1595.8
ORD_000926,RTO (Undelivered),Customer Refused at Doorstep,411.6
ORD_000934,Customer Return,Quality Not as Expected,849.6
ORD_000936,Customer Return,Quality Not as Expected,1340.9
ORD_000953,RTO (Undelivered),Customer Refused at Doorstep,3003.9
ORD_000955,Customer Return,Late Delivery,1095.6
ORD_000958,RTO (Undelivered),Customer Refused at Doorstep,1471.0
ORD_000965,RTO (Undelivered),Customer Refused at Doorstep,2989.6
ORD_000967,RTO (Undelivered),Customer Refused at Doorstep,2235.0
ORD_000971,RTO (Undelivered),Customer Refused at Doorstep,3256.0
ORD_000974,RTO (Undelivered),Customer Refused at Doorstep,748.2
ORD_000982,Customer Return,Size / Fit Issue,3353.2
ORD_000983,Customer Return,Defective / Damaged Item,3444.5
ORD_000984,Customer Return,Quality Not as Expected,7648.3
ORD_000985,Customer Return,Size / Fit Issue,982.8
ORD_000989,RTO (Undelivered),Customer Refused at Doorstep,1001.0
ORD_000997,Customer Return,Defective / Damaged Item,2084.5
ORD_001002,RTO (Undelivered),Customer Refused at Doorstep,3670.8
ORD_001005,Customer Return,Quality Not as Expected,3995.0
ORD_001007,RTO (Undelivered),Customer Refused at Doorstep,1072.8
ORD_001010,Customer Return,Size / Fit Issue,811.3
ORD_001014,Customer Return,Size / Fit Issue,2922.8
ORD_001022,Customer Return,Size / Fit Issue,653.6
ORD_001030,Customer Return,Size / Fit Issue,3081.6
ORD_001032,Customer Return,Size / Fit Issue,2636.3
ORD_001040,RTO (Undelivered),Customer Refused at Doorstep,3157.9
ORD_001042,Customer Return,Late Delivery,2697.5
ORD_001043,Customer Return,Size / Fit Issue,3251.8
ORD_001045,RTO (Undelivered),Customer Refused at Doorstep,1975.8
ORD_001051,RTO (Undelivered),Customer Refused at Doorstep,1140.6
ORD_001052,RTO (Undelivered),Customer Refused at Doorstep,3447.6
ORD_001061,Customer Return,Defective / Damaged Item,2048.0
ORD_001065,RTO (Undelivered),Customer Refused at Doorstep,1361.6
ORD_001073,RTO (Undelivered),Customer Refused at Doorstep,1543.3
ORD_001076,Customer Return,Late Delivery,985.6
ORD_001079,Customer Return,Defective / Damaged Item,862.4
ORD_001085,RTO (Undelivered),Customer Refused at Doorstep,3173.6
ORD_001086,RTO (Undelivered),Customer Refused at Doorstep,2546.8
ORD_001087,Customer Return,Defective / Damaged Item,5428.2
ORD_001089,Customer Return,Quality Not as Expected,766.1
ORD_001096,RTO (Undelivered),Customer Refused at Doorstep,2958.3
ORD_001097,Customer Return,Defective / Damaged Item,1877.4
ORD_001098,Customer Return,Quality Not as Expected,1638.5
ORD_001100,RTO (Undelivered),Customer Refused at Doorstep,684.0
ORD_001106,Customer Return,Size / Fit Issue,579.6
ORD_001111,RTO (Undelivered),Customer Refused at Doorstep,2133.6
ORD_001113,RTO (Undelivered),Customer Refused at Doorstep,3496.0
ORD_001114,RTO (Undelivered),Customer Refused at Doorstep,760.5
ORD_001115,Customer Return,Quality Not as Expected,4629.4
ORD_001116,Customer Return,Size / Fit Issue,1623.6
ORD_001121,Customer Return,Size / Fit Issue,710.4
ORD_001122,RTO (Undelivered),Customer Refused at Doorstep,3845.4
ORD_001127,RTO (Undelivered),Customer Refused at Doorstep,390.6
ORD_001132,Customer Return,Size / Fit Issue,1378.5
ORD_001134,Customer Return,Size / Fit Issue,795.7
ORD_001137,RTO (Undelivered),Customer Refused at Doorstep,6569.5
ORD_001145,RTO (Undelivered),Customer Refused at Doorstep,2025.4
ORD_001146,Customer Return,Size / Fit Issue,3387.6
ORD_001153,RTO (Undelivered),Customer Refused at Doorstep,4416.9
ORD_001154,RTO (Undelivered),Customer Refused at Doorstep,1421.9
ORD_001155,RTO (Undelivered),Customer Refused at Doorstep,653.6
ORD_001160,Customer Return,Size / Fit Issue,3452.3
ORD_001162,Customer Return,Defective / Damaged Item,1810.4
ORD_001167,Customer Return,Quality Not as Expected,2135.6
ORD_001170,RTO (Undelivered),Customer Refused at Doorstep,3007.0
ORD_001177,RTO (Undelivered),Customer Refused at Doorstep,4316.7
ORD_001187,Customer Return,Quality Not as Expected,2521.1
ORD_001196,RTO (Undelivered),Customer Refused at Doorstep,1345.5
ORD_001199,RTO (Undelivered),Customer Refused at Doorstep,2813.4
ORD_001203,Customer Return,Size / Fit Issue,3005.6
ORD_001206,Customer Return,Quality Not as Expected,2539.3
ORD_001207,RTO (Undelivered),Customer Refused at Doorstep,5088.1
ORD_001211,Customer Return,Quality Not as Expected,830.4
ORD_001220,Customer Return,Size / Fit Issue,1497.3
ORD_001227,RTO (Undelivered),Customer Refused at Doorstep,2989.6
ORD_001233,Customer Return,Late Delivery,1668.9
ORD_001240,Customer Return,Quality Not as Expected,3265.1
ORD_001244,Customer Return,Defective / Damaged Item,2172.8
ORD_001251,Customer Return,Quality Not as Expected,1277.3
ORD_001263,Customer Return,Size / Fit Issue,1840.4
ORD_001266,Customer Return,Size / Fit Issue,3172.3
ORD_001267,Customer Return,Defective / Damaged Item,1470.0
ORD_001271,Customer Return,Defective / Damaged Item,1905.0
ORD_001272,Customer Return,Quality Not as Expected,2233.0
ORD_001275,RTO (Undelivered),Customer Refused at Doorstep,455.1
ORD_001277,Customer Return,Size / Fit Issue,1488.5
ORD_001279,RTO (Undelivered),Customer Refused at Doorstep,3282.3
ORD_001280,Customer Return,Size / Fit Issue,188.1
ORD_001284,RTO (Undelivered),Customer Refused at Doorstep,952.5
ORD_001285,Customer Return,Quality Not as Expected,554.4
ORD_001288,RTO (Undelivered),Customer Refused at Doorstep,3396.4
ORD_001290,Customer Return,Size / Fit Issue,3335.2
ORD_001299,Customer Return,Quality Not as Expected,1086.8
ORD_001300,RTO (Undelivered),Customer Refused at Doorstep,3488.0
ORD_001305,RTO (Undelivered),Customer Refused at Doorstep,1459.5
ORD_001312,RTO (Undelivered),Customer Refused at Doorstep,2771.9
ORD_001315,RTO (Undelivered),Customer Refused at Doorstep,1659.2
ORD_001324,Customer Return,Size / Fit Issue,1083.6
ORD_001325,Customer Return,Size / Fit Issue,1984.0
ORD_001328,RTO (Undelivered),Customer Refused at Doorstep,3165.3
ORD_001339,RTO (Undelivered),Customer Refused at Doorstep,1123.3
ORD_001343,RTO (Undelivered),Customer Refused at Doorstep,2075.2
ORD_001347,Customer Return,Quality Not as Expected,3604.5
ORD_001348,RTO (Undelivered),Customer Refused at Doorstep,486.0
ORD_001355,Customer Return,Found Better Price Elsewhere,1958.5
ORD_001356,Customer Return,Size / Fit Issue,1768.9
ORD_001357,Customer Return,Quality Not as Expected,1310.4
ORD_001358,RTO (Undelivered),Customer Refused at Doorstep,1881.0
ORD_001362,Customer Return,Defective / Damaged Item,3398.3
ORD_001364,Customer Return,Size / Fit Issue,1430.4
ORD_001365,RTO (Undelivered),Customer Refused at Doorstep,1256.0
ORD_001367,Customer Return,Quality Not as Expected,3725.8
ORD_001369,RTO (Undelivered),Customer Refused at Doorstep,6060.3
ORD_001370,Customer Return,Late Delivery,2056.2
ORD_001372,Customer Return,Late Delivery,4414.5
ORD_001379,RTO (Undelivered),Customer Refused at Doorstep,2407.0
ORD_001395,RTO (Undelivered),Customer Refused at Doorstep,2610.3
ORD_001398,RTO (Undelivered),Customer Refused at Doorstep,1212.4
ORD_001402,RTO (Undelivered),Customer Refused at Doorstep,1517.0
ORD_001412,RTO (Undelivered),Customer Refused at Doorstep,907.2
ORD_001416,RTO (Undelivered),Customer Refused at Doorstep,1741.5
ORD_001417,RTO (Undelivered),Customer Refused at Doorstep,5320.3
ORD_001420,Customer Return,Size / Fit Issue,3531.6
ORD_001436,Customer Return,Quality Not as Expected,1348.2
ORD_001437,RTO (Undelivered),Customer Refused at Doorstep,2512.2
ORD_001438,Customer Return,Size / Fit Issue,1605.5
ORD_001440,RTO (Undelivered),Customer Refused at Doorstep,567.0
ORD_001445,Customer Return,Size / Fit Issue,2545.2
ORD_001446,RTO (Undelivered),Customer Refused at Doorstep,2560.7
ORD_001447,Customer Return,Defective / Damaged Item,1155.6
ORD_001450,RTO (Undelivered),Customer Refused at Doorstep,2192.4
ORD_001454,Customer Return,Defective / Damaged Item,4188.9
ORD_001457,RTO (Undelivered),Customer Refused at Doorstep,1827.0
ORD_001462,Customer Return,Defective / Damaged Item,2235.7
ORD_001468,Customer Return,Late Delivery,487.2
ORD_001469,RTO (Undelivered),Customer Refused at Doorstep,2956.2
ORD_001471,Customer Return,Quality Not as Expected,615.0
ORD_001473,Customer Return,Quality Not as Expected,2903.1
ORD_001478,Customer Return,Defective / Damaged Item,5194.0
ORD_001481,Customer Return,Size / Fit Issue,873.6
ORD_001483,Customer Return,Defective / Damaged Item,3129.0
ORD_001486,Customer Return,Size / Fit Issue,585.2
ORD_001487,Customer Return,Size / Fit Issue,4975.6
ORD_001489,RTO (Undelivered),Customer Refused at Doorstep,4843.8
ORD_001490,RTO (Undelivered),Customer Refused at Doorstep,5380.0
ORD_001492,Customer Return,Size / Fit Issue,1398.7
ORD_001493,RTO (Undelivered),Customer Refused at Doorstep,4011.7
ORD_001500,Customer Return,Size / Fit Issue,1195.6
ORD_001502,RTO (Undelivered),Customer Refused at Doorstep,1646.4
ORD_001504,RTO (Undelivered),Customer Refused at Doorstep,969.0
ORD_001509,RTO (Undelivered),Customer Refused at Doorstep,539.4
ORD_001510,RTO (Undelivered),Customer Refused at Doorstep,3666.0
ORD_001525,Customer Return,Late Delivery,4583.4
ORD_001533,Customer Return,Size / Fit Issue,512.4
ORD_001537,Customer Return,Quality Not as Expected,1341.0
ORD_001538,RTO (Undelivered),Customer Refused at Doorstep,3696.0
ORD_001539,Customer Return,Size / Fit Issue,1777.5
ORD_001543,Customer Return,Size / Fit Issue,2105.4
ORD_001544,RTO (Undelivered),Customer Refused at Doorstep,1657.5
ORD_001548,Customer Return,Size / Fit Issue,742.6
ORD_001550,Customer Return,Late Delivery,468.0
ORD_001562,Customer Return,Quality Not as Expected,1399.2
ORD_001564,RTO (Undelivered),Customer Refused at Doorstep,2248.3
ORD_001574,Customer Return,Quality Not as Expected,1170.4
ORD_001579,Customer Return,Found Better Price Elsewhere,2691.5
ORD_001584,RTO (Undelivered),Customer Refused at Doorstep,723.8
ORD_001588,Customer Return,Late Delivery,3686.4
ORD_001591,RTO (Undelivered),Customer Refused at Doorstep,2917.2
ORD_001593,RTO (Undelivered),Customer Refused at Doorstep,577.5
ORD_001598,RTO (Undelivered),Customer Refused at Doorstep,1462.0
ORD_001606,RTO (Undelivered),Customer Refused at Doorstep,1971.2
ORD_001607,RTO (Undelivered),Customer Refused at Doorstep,722.2
ORD_001612,Customer Return,Defective / Damaged Item,3149.3
ORD_001619,RTO (Undelivered),Customer Refused at Doorstep,544.0
ORD_001622,RTO (Undelivered),Customer Refused at Doorstep,3147.6
ORD_001630,Customer Return,Size / Fit Issue,2405.5
ORD_001639,Customer Return,Quality Not as Expected,3100.6
ORD_001642,Customer Return,Size / Fit Issue,976.0
ORD_001646,RTO (Undelivered),Customer Refused at Doorstep,477.4
ORD_001652,Customer Return,Size / Fit Issue,469.8
ORD_001654,Customer Return,Quality Not as Expected,2056.2
ORD_001655,Customer Return,Late Delivery,1401.3
ORD_001658,RTO (Undelivered),Customer Refused at Doorstep,815.9
ORD_001661,Customer Return,Size / Fit Issue,1718.2
ORD_001664,Customer Return,Quality Not as Expected,1788.0
ORD_001667,Customer Return,Size / Fit Issue,5131.4
ORD_001673,Customer Return,Late Delivery,1429.7
ORD_001679,RTO (Undelivered),Customer Refused at Doorstep,2903.6
ORD_001684,Customer Return,Late Delivery,1631.8
ORD_001685,RTO (Undelivered),Customer Refused at Doorstep,2063.1
ORD_001692,RTO (Undelivered),Customer Refused at Doorstep,1946.6
ORD_001698,Customer Return,Size / Fit Issue,2131.1
ORD_001704,Customer Return,Found Better Price Elsewhere,927.2
ORD_001710,Customer Return,Quality Not as Expected,2949.2
ORD_001715,Customer Return,Quality Not as Expected,2843.1
ORD_001717,Customer Return,Late Delivery,722.4
ORD_001718,RTO (Undelivered),Customer Refused at Doorstep,315.0
ORD_001721,Customer Return,Size / Fit Issue,4721.6
ORD_001722,Customer Return,Quality Not as Expected,2775.0
ORD_001724,Customer Return,Size / Fit Issue,3240.1
ORD_001725,RTO (Undelivered),Customer Refused at Doorstep,994.3
ORD_001726,Customer Return,Size / Fit Issue,4576.8
ORD_001730,Customer Return,Quality Not as Expected,1818.7
ORD_001733,Customer Return,Quality Not as Expected,1047.2
ORD_001740,Customer Return,Late Delivery,2629.1
ORD_001748,Customer Return,Late Delivery,4648.8
ORD_001752,Customer Return,Quality Not as Expected,952.6
ORD_001754,Customer Return,Size / Fit Issue,3952.2
ORD_001757,RTO (Undelivered),Customer Refused at Doorstep,4614.1
ORD_001763,Customer Return,Size / Fit Issue,3576.0
ORD_001767,RTO (Undelivered),Customer Refused at Doorstep,2503.2
ORD_001775,Customer Return,Size / Fit Issue,749.3
ORD_001779,RTO (Undelivered),Customer Refused at Doorstep,2038.6
ORD_001783,Customer Return,Quality Not as Expected,2773.0
ORD_001787,RTO (Undelivered),Customer Refused at Doorstep,1531.4
ORD_001788,Customer Return,Size / Fit Issue,4968.0
ORD_001792,RTO (Undelivered),Customer Refused at Doorstep,3990.4
ORD_001794,Customer Return,Quality Not as Expected,2007.7
ORD_001797,Customer Return,Size / Fit Issue,3299.7
ORD_001804,RTO (Undelivered),Customer Refused at Doorstep,1016.4
ORD_001810,RTO (Undelivered),Customer Refused at Doorstep,2556.4
ORD_001814,Customer Return,Defective / Damaged Item,1259.0
ORD_001817,RTO (Undelivered),Customer Refused at Doorstep,626.4
ORD_001829,Customer Return,Quality Not as Expected,1664.0
ORD_001838,RTO (Undelivered),Customer Refused at Doorstep,2528.0
ORD_001839,RTO (Undelivered),Customer Refused at Doorstep,394.8
ORD_001840,RTO (Undelivered),Customer Refused at Doorstep,1955.8
ORD_001845,Customer Return,Quality Not as Expected,1638.0
ORD_001846,Customer Return,Size / Fit Issue,2905.5
ORD_001847,RTO (Undelivered),Customer Refused at Doorstep,826.6
ORD_001855,Customer Return,Size / Fit Issue,1246.4
ORD_001857,Customer Return,Found Better Price Elsewhere,1496.4
ORD_001863,Customer Return,Quality Not as Expected,2964.9
ORD_001864,RTO (Undelivered),Customer Refused at Doorstep,774.7
ORD_001872,Customer Return,Quality Not as Expected,582.9
ORD_001875,RTO (Undelivered),Customer Refused at Doorstep,1671.6
ORD_001877,RTO (Undelivered),Customer Refused at Doorstep,3035.8
ORD_001885,Customer Return,Size / Fit Issue,3506.3
ORD_001888,Customer Return,Size / Fit Issue,3433.3
ORD_001892,Customer Return,Late Delivery,2758.4
ORD_001895,Customer Return,Size / Fit Issue,1631.7
ORD_001908,RTO (Undelivered),Customer Refused at Doorstep,1458.6
ORD_001910,RTO (Undelivered),Customer Refused at Doorstep,1136.8
